
Similarity
Label,n,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-5,259,0.8782462783687978,0.8752549105830882,2.3009821063773577e-05,0.9205197726455795,1.0,0.8586658707585506,0.8727870758938219,0.9677423833269962,0.9345112715544713,0.9596141789819508,0.9391935015371342
CT-6,299,0.9659562475362732,0.9202561754270551,3.096103511477542e-05,0.9872937157956476,0.8586658707585506,1.0,0.9069453934798437,0.9362320463618575,0.9121838928429473,0.9099564103056117,0.9432614024973729
CT-7,219,0.9340493489910036,0.9556489586052561,4.9330210079744704e-06,0.934676566814837,0.8727870758938219,0.9069453934798437,1.0,0.9110543428355548,0.8976753790352506,0.8911077526046045,0.9387648008230168
CT-8.2,222,0.9610659441940902,0.9189444318735822,9.320454855969259e-06,0.9711245500945583,0.9677423833269962,0.9362320463618575,0.9110543428355548,1.0,0.9714439232309856,0.9915626953971153,0.9909594340760776
CT-9,250,0.9324008593128702,0.9460152687326709,0.0011931010734030404,0.9446362959686475,0.9345112715544713,0.9121838928429473,0.8976753790352506,0.9714439232309856,1.0,0.9618881808724457,0.9681716816562841
CT-10,203,0.9535033062120343,0.8961743968029037,1.6638065318548515e-05,0.9518430755771496,0.9596141789819508,0.9099564103056117,0.8911077526046045,0.9915626953971153,0.9618881808724457,1.0,0.9861404876048787
CT-11,215,0.9812655652419268,0.9379655588467236,5.947284114397257e-10,0.9717135152920996,0.9391935015371342,0.9432614024973729,0.9387648008230168,0.9909594340760776,0.9681716816562841,0.9861404876048787,1.0

CT-1,152,0.0,91.78735871497136,274.5753986134887,85.27299056621283,85.18430441097587,61.33589474052336,84.3087266532209,73.12875694299306,80.98559682784855,70.15273352356074,70.45597576247334
CT-2,251,91.78735871497136,0.0,252.37073479110344,136.12586716906333,138.9859841364608,107.6862085037249,137.42715911984712,126.08092300851219,75.18993340379009,122.9539703875666,124.07134799275553
CT-3,267,274.5753986134887,252.37073479110344,0.0,277.95490095556704,278.61840313812826,275.59531499772584,279.3900432031292,274.7473985001567,244.54743637269885,273.8672584351393,274.57067883541623
CT-4,308,85.27299056621283,136.12586716906333,277.95490095556704,0.0,10.147892019700182,52.20514271338249,7.787558537395736,15.976362133338611,80.54170372557049,18.882619040439835,18.347181044910286
CT-5,259,85.18430441097587,138.9859841364608,278.61840313812826,10.147892019700182,0.0,51.29466293220196,5.604209189792953,16.849852511861148,85.10539321104179,19.027911164843594,18.275655806658893
CT-6,299,61.33589474052336,107.6862085037249,275.59531499772584,52.20514271338249,51.29466293220196,0.0,51.098168835479996,44.63318265608791,80.11521486769085,38.95536973305073,42.07445106601794
CT-7,219,84.3087266532209,137.42715911984712,279.3900432031292,7.787558537395736,5.604209189792953,51.098168835479996,0.0,14.775559852208396,83.23489140159275,18.010184072004286,16.59278708634589
CT-8.2,222,73.12875694299306,126.08092300851219,274.7473985001567,15.976362133338611,16.849852511861148,44.63318265608791,14.775559852208396,0.0,73.77404590785835,13.064165641824943,5.794544439703297
CT-9,250,80.98559682784855,75.18993340379009,244.54743637269885,80.54170372557049,85.10539321104179,80.11521486769085,83.23489140159275,73.77404590785835,0.0,73.70969725433537,73.11092488919606
CT-10,203,70.15273352356074,122.9539703875666,273.8672584351393,18.882619040439835,19.027911164843594,38.95536973305073,18.010184072004286,13.064165641824943,73.70969725433537,0.0,10.501265434006342
CT-11,215,70.45597576247334,124.07134799275553,274.57067883541623,18.347181044910286,18.275655806658893,42.07445106601794,16.59278708634589,5.794544439703297,73.11092488919606,10.501265434006342,0.0
